Deskriptive Statistiken der Features pro Cluster (Mittelwert, Standardabweichung, etc.):

--- Cluster 0 ---
                                                        count           mean            std          min            25%            50%            75%           max
stats_positioning_percent_most_back                   22832.0      42.870713      16.558485  0.0      33.361233      42.659873      52.575052  4.123711e+02
stats_positioning_percent_most_forward                22832.0      38.201850      16.213995  0.0      28.941317      37.415898      47.449900  4.123711e+02
stats_positioning_percent_closest_to_ball             22832.0      38.737225      15.057131  0.0      30.518255      37.598840      47.346177  4.123711e+02
stats_positioning_goals_against_while_last_defender   22832.0       0.955545       1.154711  0.0       0.000000       1.000000       2.000000  1.300000e+01
stats_positioning_percent_farthest_from_ball          22832.0      42.133863      16.050280  0.0      32.499609      41.486466      51.893227  4.123711e+02
stats_demo_inflicted                                  22832.0       0.335363       0.695037  0.0       0.000000       0.000000       1.000000  2.200000e+01
stats_demo_taken                                      22832.0       0.516030       0.873200  0.0       0.000000       0.000000       1.000000  1.800000e+01
tod_sin                                               22832.0      -0.477039       0.496132 -1.0      -0.893118      -0.627822      -0.162967  9.999988e-01
tod_cos                                               22832.0       0.299884       0.660595 -1.0      -0.227342       0.527821       0.889724  1.000000e+00

--- Cluster 3 ---
                                                        count           mean           std         min            25%            50%            75%           max
team_result                                           71089.0       0.538283      0.506875    0.000000       0.000000       1.000000       1.000000  2.000000e+00
overtime_seconds                                      71089.0       4.821393     30.163158    0.000000       0.000000       0.000000       0.000000  3.447000e+03
stats_core_shots                                      71089.0       4.191098      2.316082    0.000000       3.000000       4.000000       5.000000  7.800000e+01
stats_core_shots_against                              71089.0       7.988718      3.327581    0.000000       6.000000       8.000000      10.000000  7.500000e+01
stats_core_goals                                      71089.0       1.710855      1.465906    0.000000       1.000000       1.000000       2.000000  4.300000e+01
stats_core_goals_against                              71089.0       2.928301      1.831671    0.000000       2.000000       3.000000       4.000000  2.200000e+01
stats_core_saves                                      71089.0       2.023675      1.541711    0.000000       1.000000       2.000000       3.000000  2.500000e+01
stats_core_assists                                    71089.0       0.761637      0.884460    0.000000       0.000000       1.000000       1.000000  6.000000e+00
stats_core_score                                      71089.0     554.041230    245.326485    0.000000     393.000000     529.000000     680.000000  1.063000e+04
stats_core_shooting_percentage                        71089.0      40.325557     30.611661    0.000000      20.000000      40.000000      60.000000  3.000000e+02
stats_boost_bpm                                       71089.0     416.455781     58.109314    0.000000     383.000000     415.000000     449.000000  6.976000e+03
stats_boost_bcpm                                      71089.0     432.899111     53.573375    0.000000     397.245300     431.800720     467.394650  8.206545e+02
stats_boost_avg_amount                                71089.0      47.797448      4.948829    0.000000      44.540000      47.770000      51.050000  1.000000e+02
stats_boost_amount_collected                          71089.0    2256.037151    479.982430    0.000000    1982.000000    2296.000000    2572.000000  5.082000e+03
stats_boost_amount_stolen                             71089.0     462.062246    177.396242    0.000000     337.000000     457.000000     580.000000  1.502000e+03
stats_boost_amount_collected_big                      71089.0    1599.458299    454.919817    0.000000    1346.000000    1628.000000    1894.000000  4.033000e+03
stats_boost_amount_stolen_big                         71089.0     271.216011    152.373375    0.000000     169.000000     266.000000     372.000000  1.218000e+03
stats_boost_amount_collected_small                    71089.0     656.578852    330.321131    0.000000     513.000000     626.000000     735.000000  5.082000e+03
stats_boost_amount_stolen_small                       71089.0     190.846235     70.981707    0.000000     141.000000     187.000000     236.000000  6.790000e+02
stats_boost_count_collected_big                       71089.0      19.293618      5.562108    0.000000      16.000000      20.000000      23.000000  5.700000e+01
stats_boost_count_stolen_big                          71089.0       3.262080      1.771401    0.000000       2.000000       3.000000       4.000000  1.600000e+01
stats_boost_count_collected_small                     71089.0      54.624907     14.480083    0.000000      45.000000      55.000000      64.000000  1.330000e+02
stats_boost_count_stolen_small                        71089.0      16.736134      5.929469    0.000000      13.000000      16.000000      21.000000  4.400000e+01
stats_boost_amount_overfill                           71089.0     309.142526    165.363518    0.000000     191.000000     290.000000     405.000000  2.766000e+03
stats_boost_amount_overfill_stolen                    71089.0      50.066635     50.198017    0.000000       9.000000      36.000000      78.000000  5.020000e+02
stats_boost_amount_used_while_supersonic              71089.0     272.937613    130.487211    0.000000     178.000000     258.000000     351.000000  1.181000e+03
stats_boost_percent_zero_boost                        71089.0      12.829305      4.592411    0.000000       9.548850      12.429397      15.663055  4.674775e+01
stats_boost_percent_full_boost                        71089.0      11.186862      4.256592    0.000000       8.189929      10.568380      13.498560  4.198510e+01
stats_boost_percent_boost_0_25                        71089.0      35.454595      7.558137    0.000000      30.267740      35.310547      40.447680  1.000000e+02
stats_boost_percent_boost_25_50                       71089.0      22.328348      4.366752    0.000000      19.392782      22.158012      25.110584  5.445524e+01
stats_boost_percent_boost_50_75                       71089.0      16.465152      4.158934    0.000000      13.590063      16.207040      19.088280  3.997966e+01
stats_boost_percent_boost_75_100                      71089.0      25.727992      6.242282    0.000000      21.388636      25.309126      29.627224  6.126527e+01
stats_movement_avg_speed                              71089.0    1539.043312     75.957498   78.000000    1491.000000    1539.000000    1588.000000  2.228000e+03
stats_movement_total_distance                         71089.0  468371.092757  92569.699052   76.000000  430692.000000  488871.000000  523472.000000  2.805322e+06
stats_movement_time_powerslide                        71089.0       6.156656      2.473578    0.000000       4.490000       5.920000       7.510000  4.632000e+01
stats_movement_count_powerslide                       71089.0      55.710855     23.568918    0.000000      39.000000      53.000000      70.000000  2.720000e+02
stats_movement_avg_powerslide_duration                71089.0       0.114853      0.028362    0.000000       0.100000       0.110000       0.130000  7.500000e-01
stats_movement_avg_speed_percentage                   71089.0      66.914927      3.302500    3.391304      64.826090      66.913040      69.043480  9.686957e+01
stats_movement_percent_slow_speed                     71089.0      46.260742      5.541587    0.000000      42.602060      46.206005      49.784016  1.000000e+02
stats_movement_percent_boost_speed                    71089.0      37.927097      3.815304    0.000000      35.372242      37.871048      40.439690  8.701299e+01
stats_movement_percent_supersonic_speed               71089.0      15.812162      4.229891    0.000000      12.953488      15.585426      18.416304  8.139535e+01
